ID,Group,Category,Priority,Status,Description,Use Case
REQ-538,8. Client Access & Protocols,JDBC/ODBC Integration,SHOULD,Available,"The auto-generated `.proto` file maps Provisa/Trino column types to protobuf scalar types: `integer → int32`, `bigint → int64`, `varchar → string`, `decimal → double`, `boolean → bool`, `timestamp → google.protobuf.Timestamp`. Each registered table produces one proto `message`. Relationships between tables produce nested message fields.",Documented proto type mapping lets gRPC clients generate correct typed stubs without manual type translation.
REQ-579,8. Client Access & Protocols,pgwire Server,SHOULD,Available,The pgwire server reports server version `14.0.provisa` to connecting clients. Tools that gate features on the PostgreSQL version number behave as though connected to PostgreSQL 14.,"Reporting a stable PostgreSQL version ensures JDBC drivers, DBeaver, and other tools that gate features on version behave predictably."
REQ-580,8. Client Access & Protocols,pgwire Server,SHOULD,Available,pgwire simple-query protocol supports multi-statement queries. Semicolon-separated statements are split and executed sequentially within a single simple-query message.,Multi-statement simple queries allow JDBC tools and psql scripts that send batched DDL or DML to work without modification.
REQ-581,8. Client Access & Protocols,pgwire Server,SHOULD,Available,"Parameterized queries using `$1`, `$2`, ... positional parameters are supported in both simple-query and extended-query (Bind/Execute) protocol modes. Parameters are substituted as SQL literals before execution — the upstream engine never sees a prepared statement.",Parameterized query support enables standard JDBC/psycopg2 prepared statement patterns. Literal substitution avoids prepared-statement protocol complexity with Trino.
REQ-582,8. Client Access & Protocols,pgwire Server,SHOULD,Available,"pgwire DDL dispatches to one of two paths based on `ddl_catalog`. Trino path (non-registered catalog such as `iceberg`, `hive`, `otel`, `results`): supports only `CREATE TABLE` and `CREATE VIEW`; ALTER, DROP, and CREATE INDEX are rejected. Direct path (registered source ID): supports full DDL including CREATE, ALTER, DROP, indexes, and sequences.",Two DDL paths let stewards write tables to Iceberg for lake storage or directly to registered RDBMS sources for full DDL control.
REQ-583,8. Client Access & Protocols,pgwire Server,SHOULD,Available,"After DDL execution on either the Trino or direct path, the new table is registered into the role's compilation context so it is immediately queryable without a server restart.",Immediate post-DDL registration lets analytic workflows create tables and query them in the same session.
REQ-584,8. Client Access & Protocols,pgwire Server,SHOULD,Available,"DDL write target is resolved from the domain's `ddl_catalog` and `ddl_schema` config fields. If `ddl_catalog` is unset, the system defaults to the Iceberg catalog. If `ddl_schema` is unset, it defaults to the domain ID. The domain is resolved through the role's `domain_access` list.",Domain-driven DDL target resolution ensures DDL writes land in the correct catalog and schema without per-query configuration.
REQ-585,8. Client Access & Protocols,pgwire Server,SHOULD,Available,"pgwire supports `COPY ... TO STDOUT` (export) and `COPY ... FROM STDIN` (import). COPY TO STDOUT supports both table reference and arbitrary subquery forms. Supported formats for COPY output: `text` (tab-delimited, default) and `csv`. Binary COPY format is not supported.","COPY protocol support enables bulk data export and import via psql, pgdump-compatible tools, and JDBC copy managers without requiring the HTTP API."
REQ-586,8. Client Access & Protocols,pgwire Server,MUST,Available,"`COPY ... FROM STDIN` is restricted to sources with types `postgresql`, `mysql`, `sqlite`, or `mariadb`. Attempting COPY FROM against a Trino-only source raises SQLSTATE 42501. If no column list is provided, columns are inferred from the registered schema.",Restricting COPY FROM to writable source types prevents accidental writes to read-only Iceberg or Trino-federated tables.
REQ-587,8. Client Access & Protocols,pgwire Server,SHOULD,Available,"Transaction control commands (SET, BEGIN, START TRANSACTION, COMMIT, ROLLBACK, SAVEPOINT, RELEASE, DISCARD, RESET, DEALLOCATE) are intercepted and return an empty success response. The server is stateless with respect to transactions — `in_transaction()` always returns False; there is no transaction isolation or rollback support.","Accepting but ignoring transaction commands allows JDBC drivers and ORMs that issue implicit BEGIN/COMMIT to function without errors, while making the stateless nature explicit."
REQ-588,8. Client Access & Protocols,pgwire Server,SHOULD,Available,"The catalog intercept layer handles scalar expression queries: `current_user` / `session_user` → authenticated `role_id`; `current_database()` → `""provisa""`; `current_schema()` → `""public""`; `version()` → `""PostgreSQL 14.0 on Provisa""`; `pg_backend_pid()` → `0`; `current_setting(...)` → value from a fixed settings table; `SHOW <setting>` → value from the same settings table.",Scalar expression intercepts prevent JDBC drivers and ORMs from failing on startup queries that probe server identity and settings.
REQ-589,8. Client Access & Protocols,pgwire Server,SHOULD,Available,"The extended-query protocol (Bind/Execute) supports binary-encoded parameters. Supported OIDs for binary decode: 16 (bool), 17 (bytea), 20 (int8), 21 (int2), 23 (int4), 25 (text), 700 (float4), 701 (float8), 1043 (varchar), 1082 (date), 1114 (timestamp), 1184 (timestamptz), 1700 (numeric), 2950 (uuid). Unsupported OIDs raise `""Unsupported binary parameter type: <oid>""`. Result columns are also sent in binary when the client requests it.","Binary parameter encoding support enables psycopg2 and asyncpg to send typed parameters without text serialization, preserving full type fidelity for numeric and temporal values."
REQ-590,8. Client Access & Protocols,pgwire Server,MUST,Available,pgwire enforces hard-coded timeouts: DDL operations time out after 60 seconds; query operations time out after 120 seconds. These are enforced in the handler threads via `future.result(timeout=N)`.,Hard-coded timeouts prevent long-running DDL or query operations from blocking pgwire handler threads indefinitely.
REQ-606,8. Client Access & Protocols,SQL & Multi-Protocol Client Access,SHOULD,Available,"ProvisaClient accepts a bearer token (`token` parameter) as an alternative to username/password for authentication. When a token is present, it is sent as `Authorization: Bearer <token>` on every request. When omitted, the client relies on password-based login or no auth (unsecured deployment).","Bearer token support lets ProvisaClient integrate with identity systems that issue tokens directly, without requiring a Provisa-local username/password pair."
REQ-607,8. Client Access & Protocols,SQL & Multi-Protocol Client Access,SHOULD,Available,"ProvisaClient error contract: `query()` raises `httpx.HTTPStatusError` on HTTP-level errors (4xx/5xx). `query_df()` raises `RuntimeError` when the GraphQL response body contains an `errors` field, regardless of HTTP status.",Distinct error types for transport errors vs. GraphQL errors let callers handle network failures and schema/data errors with separate recovery paths.
REQ-608,8. Client Access & Protocols,SQL & Multi-Protocol Client Access,SHOULD,Available,The ADBC interface (`adbc_connect`) connects to the Arrow Flight server on port 8815. The Flight port is hardcoded in `adbc_connect` and is not configurable via any parameter — callers must run the Flight server on port 8815 or reconfigure the server.,Hardcoded Flight port in adbc_connect simplifies the ADBC connection signature; the server config is the single place to change the port.
REQ-614,8. Client Access & Protocols,pgwire,MUST,Available,The pgwire listener accepts only SQL statements. GraphQL and Cypher query strings are not parsed or executed over the pgwire protocol.,SQL-only restriction on pgwire keeps the protocol surface minimal and avoids ambiguity between query languages on a single connection.
REQ-615,8. Client Access & Protocols,pgwire,MUST,Available,"The pgwire listener does not support DML mutations (INSERT, UPDATE, DELETE). SQL statements of these types are not routed to a write path.",Read-only restriction on pgwire keeps the connection appropriate for analytics tools and prevents accidental data modification via SQL clients.
REQ-616,8. Client Access & Protocols,pgwire,MUST,Available,COPY and DDL statements submitted over pgwire require the `ddl` role capability. Roles without `ddl` receive a permission error (PG error code 42501). Roles with `ddl` have COPY and DDL executed via the DDL handler and COPY handler respectively.,Capability-gated DDL and COPY lets power users perform schema operations via psql or DBeaver while protecting other roles from accidental destructive statements.
REQ-617,8. Client Access & Protocols,gRPC,MUST,Available,Role selection on every Provisa gRPC RPC is via the `x-provisa-role` metadata key. Missing or unrecognised role metadata causes the call to be rejected with UNAUTHENTICATED. Streaming query RPCs emit one response message per result row; mutation RPCs are unary.,Metadata-based role selection lets a single gRPC channel serve multiple roles by setting the key per-call without reconnecting.
REQ-172,9. Live Data & Events,Dataset Change Events,SHOULD,Available,"Mutations emit a dataset change event to a Kafka topic — no row-level detail, just `{table, source, timestamp}`.",Mutation change events let downstream consumers react to data changes without polling the source.
REQ-173,9. Live Data & Events,Dataset Change Events,MUST,Available,Change events fire on the same mutation hook that invalidates cache and marks MVs stale.,"Change events and cache invalidation fire together, keeping all derived state consistent after mutations."
REQ-174,9. Live Data & Events,Dataset Change Events,SHOULD,Available,Producers running complex ETL outside Provisa can signal changes via a trivial mutation (touch operation).,Touch mutations let external ETL pipelines signal Provisa that source data changed without a direct DB write.
REQ-175,9. Live Data & Events,Dataset Change Events,MAY,Available,Change event topic configurable via `PROVISA_CHANGE_EVENT_TOPIC` (default: `provisa.change-events`).,Configurable change event topic lets operators isolate event streams by environment or team.
REQ-176,9. Live Data & Events,Kafka Sinks (Table/View Publishing),SHOULD,Available,"Registered tables and views can optionally have a Kafka sink — results published to a topic on trigger. Sinks may use change_event, schedule, manual, or poll depending on source capability.",Table/view Kafka sinks push governed results to topics so consumers never bypass security.
REQ-177,9. Live Data & Events,Kafka Sinks (Table/View Publishing),SHOULD,Available,"Sink triggers: `change_event` (re-run when source table changes), `schedule` (cron/interval), `manual` (on-demand), `poll` (watermark-based continuous polling — required when CDC is unavailable).","Flexible sink triggers (CDC, schedule, manual, poll) match delivery to what each source physically supports."
REQ-178,9. Live Data & Events,Kafka Sinks (Table/View Publishing),MUST,Available,"Sinks are opt-in per registered table or view, configured by the steward.",Opt-in sink configuration prevents accidental data publishing without steward intent.
REQ-180,9. Live Data & Events,Kafka Sinks (Table/View Publishing),SHOULD,Available,"Sinks can be added to or removed from a table/view at any time, independently of other config.",Independent sink attachment lets operators add or remove delivery channels without touching other config.
REQ-181,9. Live Data & Events,Kafka Sinks (Table/View Publishing),SHOULD,Available,"Sink output format is JSON (one message per row, keyed by optional column).",JSON-per-row Kafka messages let any downstream consumer deserialize results without custom decoders.
REQ-260,9. Live Data & Events,Subscriptions,SHOULD,Available,"Polling-based subscription provider for sources without native CDC. A `watermark_column` (monotonic timestamp or sequence, e.g. `updated_at`) must be declared on the table config. Without a `watermark_column`, poll subscriptions are unavailable for that source. Part of Phase AM (Live Query Engine). Note: Poll-based subscriptions cannot detect hard deletes — a deleted row leaves no updated watermark value and will not appear in any poll. Applications requiring delete visibility must use soft deletes (e.g. a `deleted_at` flag) that update the watermark column; the delete is then visible as an update event containing the soft-delete marker.",Poll-based subscriptions enable live delivery for sources that do not support CDC or LISTEN/NOTIFY.
REQ-261,9. Live Data & Events,Subscriptions,SHOULD,Available,"Debezium CDC subscription provider for non-PG RDBMS sources (MySQL, MariaDB, SQL Server, Oracle). Debezium captures changes from the source's transaction log and publishes to Kafka topics. Provisa's Kafka notification provider consumes these CDC events and streams them as SSE subscriptions. Requires Kafka + Debezium connector infrastructure.","Debezium CDC subscriptions enable real-time events for MySQL, MariaDB, SQL Server, and Oracle sources."
REQ-282,9. Live Data & Events,Live Query Engine (Unified Subscription & Sink Delivery),SHOULD,Available,"A single Live Query Engine powers all poll-based live delivery. It is the common implementation for: (a) SSE subscriptions on tables/views without CDC, (b) Kafka sinks on tables/views without CDC. Delivery mode (CDC vs poll) is orthogonal to the output mechanism (SSE vs Kafka sink).",Single Live Query Engine powers all poll-based delivery so CDC vs poll and SSE vs sink are independent choices.
REQ-283,9. Live Data & Events,Live Query Engine (Unified Subscription & Sink Delivery),MUST,Available,"`watermark_column` is a required config field for any poll-based live delivery. The column must be monotonically increasing (e.g. `updated_at`, `created_at`) and is declared on the table/view config (REQ-260). Without `watermark_column`, poll delivery is unavailable and config validation fails at startup.",Required watermark_column config makes poll delivery explicit and prevents unbounded or duplicate event delivery.
REQ-285,9. Live Data & Events,Live Query Engine (Unified Subscription & Sink Delivery),MUST,Available,"Tables declare delivery mode in the subscription/sink config: `delivery: cdc` or `delivery: poll`. `cdc` is available for PostgreSQL (LISTEN/NOTIFY), Debezium-connected sources (REQ-261), and MongoDB (Change Streams per REQ-258). All other sources — Trino-federated, JDBC with restricted access, Kafka topics, API sources — must use `delivery: poll`. Config validation rejects `delivery: cdc` for sources that do not support it.",Delivery mode validation at config load time prevents misconfiguring CDC on sources that do not support it.
REQ-286,9. Live Data & Events,Live Query Engine (Unified Subscription & Sink Delivery),SHOULD,Available,SSE subscription and Kafka sink are equivalent output mechanisms for a table or view. A single live definition may list both `sse_subscription` and `kafka_sink` in its `outputs`. The poll engine executes once per interval; each output tracks its own watermark independently in a `live_query_state` table (keyed by source name + output_type). A slow Kafka consumer does not block SSE delivery and vice versa.,Independent watermark tracking per output type ensures a slow Kafka consumer never delays SSE subscribers.
REQ-287,9. Live Data & Events,Live Query Engine (Unified Subscription & Sink Delivery),MUST,Available,"Live query state persisted in a `live_query_state` PG table: `(source, output_type, last_watermark, last_polled_at, status)`. On restart, polling resumes from the last committed watermark — no events are replayed or skipped due to process restart. `status` tracks `active`, `paused`, `error`.",Persisted live query state lets poll delivery resume from exactly the last committed watermark after a restart.
REQ-565,9. Live Data & Events,Subscriptions,SHOULD,Available,"At startup, Provisa idempotently installs `AFTER INSERT OR UPDATE OR DELETE` triggers on all registered PostgreSQL subscription tables. Each trigger calls `pg_notify('provisa_{table}', json_build_object('op', lower(TG_OP), 'row', ...))` so that raw DML from any writer is picked up by SSE subscriptions.",Auto-installed triggers ensure external writes to PostgreSQL tables are captured by SSE subscriptions without requiring the writer to call pg_notify manually.
REQ-566,9. Live Data & Events,Subscriptions,SHOULD,Available,"When PostgreSQL trigger installation fails (e.g. insufficient privilege), Provisa logs a warning and falls back to watermark-based polling for that table, provided `watermark_column` is configured on the table. Tables where installation succeeds are tracked in-memory to select the LISTEN/NOTIFY provider path.",Graceful fallback to polling prevents a trigger permission failure from making a table entirely unsubscribable.
REQ-567,9. Live Data & Events,Subscriptions,SHOULD,Available,"When a subscription field selects columns from joined tables via registered relationships, the subscription engine collects all physical table names referenced by the join walk and calls `watch_many(all_watch_tables)` on the PG notification provider. A change to any joined physical table re-fires the subscription query.",Watching all involved physical tables ensures that relationship-traversing subscriptions surface changes to nested data without requiring a separate subscription per table.
REQ-568,9. Live Data & Events,Subscriptions,SHOULD,Available,"Each SSE change event is emitted as a JSON object with the shape `{""event"": ""<op>"", ""table"": ""<table>"", ""row"": {...}}` where `op` is one of `insert`, `update`, or `delete`.",Standardized event shape lets clients deserialize change events without custom parsing per table.
REQ-058,10. UI & Admin Surfaces,UI & Frontend,SHOULD,Available,"Branded, custom React-based UI — rendered surface determined entirely by user's assembled role set.",Role-driven rendered UI ensures each user sees only the capabilities relevant to their assigned permissions.
REQ-059,10. UI & Admin Surfaces,UI & Frontend,SHOULD,Available,Role composition system: admin assembles capabilities from independently assignable building blocks.,Composable role building blocks let admins precisely grant capabilities without overprivileging any user.
REQ-060,10. UI & Admin Surfaces,UI & Frontend,SHOULD,Available,"Capabilities: Source Registration, Table Registration, Relationship Registration, Security Configuration, Query Development, Admin. Holders of a create capability (e.g. Relationship/View Registration) also execute creation requests queued by users lacking that capability (REQ-063).",Distinct assignable capabilities let organizations enforce separation of duties across data governance roles.
REQ-061,10. UI & Admin Surfaces,UI & Frontend,MUST,Available,Every destructive or consequential action requires explicit confirmation with consequence summary.,Explicit confirmation for destructive actions prevents accidental data loss or misconfiguration in the UI.
REQ-062,10. UI & Admin Surfaces,UI & Frontend,SHOULD,Available,"Test endpoint execution shows RLS filters applied, columns excluded, schema scope enforced in result metadata.",Test endpoint metadata display lets developers see exactly which security rules applied to their query result.
REQ-063,10. UI & Admin Surfaces,UI & Frontend,SHOULD,Available,"Creation-request queue: when a user lacks authority for a create operation (view, relationship), they submit a request that enters a queue visible to anyone holding the rights to execute it. Designed for steward efficiency; rejection reasons must be specific and actionable.",Actionable rejection reasons in the creation-request queue help requesters quickly fix and resubmit.
REQ-164,10. UI & Admin Surfaces,Admin & Configuration,SHOULD,Available,`GET/PUT /admin/config` for config YAML download/upload with backup and reload.,Config YAML download/upload with backup lets admins version-control platform configuration outside the UI.
REQ-165,10. UI & Admin Surfaces,Admin & Configuration,SHOULD,Available,"`GET/PUT /admin/settings` for runtime platform settings (redirect, sampling, cache).","Runtime settings API lets operators adjust redirect, sampling, and cache behaviour without a restart."
REQ-166,10. UI & Admin Surfaces,Admin & Configuration,SHOULD,Available,"Editable relationships page with materialize toggle, delete, and add form.",Editable relationships page with materialize toggle lets stewards manage cross-source joins interactively.
REQ-167,10. UI & Admin Surfaces,Admin & Configuration,MAY,Available,AI-suggested relationships via LLM discovery integration on relationships page.,AI-suggested relationships reduce steward effort when registering foreign-key links across complex schemas.
REQ-242,10. UI & Admin Surfaces,Commands UI,SHOULD,Available,"Admin UI ""Commands"" page listing all registered functions and webhooks. Grouped by type (DB Function / Webhook). Shows source, domain, exposed_as (mutation/query), governance level, return table, argument count.",Commands admin page gives stewards visibility into all registered functions and webhooks in one place.
REQ-243,10. UI & Admin Surfaces,Commands UI,SHOULD,Available,"Add command form with type selector: DB Function (source, schema, function name, exposed_as, returns registered table, arguments, visible_to/writable_by) or Webhook (name, URL, method, timeout_ms, returns registered table or inline type, arguments, visible_to).",Add command form lets stewards register DB functions and webhooks without editing YAML files directly.
REQ-244,10. UI & Admin Surfaces,Commands UI,SHOULD,Available,Inline type builder for webhook return types — dynamic rows of field name + GraphQL type. Used when webhook returns a custom shape not backed by a registered table.,Inline type builder lets stewards define custom webhook return shapes visually without writing JSON Schema.
REQ-245,10. UI & Admin Surfaces,Commands UI,SHOULD,Available,"Test command button — execute function/webhook with sample arguments, display result + governance pipeline applied (which columns masked, RLS filters, role). Same pattern as query test endpoint.",Test command button lets developers verify function execution and governance pipeline before approving.
REQ-248,10. UI & Admin Surfaces,UI & Design Patterns,SHOULD,Available,GraphQL Voyager integration uses iframe with React 18 CDN standalone bundle (not a native React component fork). The iframe approach avoids MUI v5/React 19 incompatibility and provides reliable isolation. No component fork is planned.,GraphQL Voyager iframe integration provides schema visualisation without React version compatibility issues.
REQ-249,10. UI & Admin Surfaces,UI & Design Patterns,SHOULD,Available,"Column-level masking configuration stored as inline fields on ColumnConfig in models.py (mask_type, mask_pattern, etc.) — not as a separate MaskingRule Pydantic model or separate database table. Masking rules are loaded from table_columns DB rows at startup in app.py. This co-locates masking config with the column definition it applies to.","Inline masking config on ColumnConfig keeps column governance co-located, avoiding split config lookups."
REQ-395,10. UI & Admin Surfaces,UI & Frontend,MUST,Available,"The PK designation must be configurable in the TablesPage UI via checkbox per column, visible in both add-form and edit-form views, and in the read-only view.",UI-based PK designation lets stewards configure keys without editing YAML files.
REQ-396,10. UI & Admin Surfaces,UI & Frontend,MUST,Available,"The graph node context menu ""Exclude from query"" option must be disabled (greyed out) when no primary key is configured for that node label.",Disabling exclusion without a PK prevents incomplete or ambiguous row-level filtering.
REQ-401,10. UI & Admin Surfaces,UI & Frontend,SHOULD,Available,"Foreign key (FK) and alternate key (AK) badges surface as read-only indicators in the column editor UI, showing which columns are linked by relationships.",FK/AK badges provide visual feedback on relationship column usage without allowing direct editing.
REQ-404,10. UI & Admin Surfaces,UI & Frontend,SHOULD,Available,"Security page RLS form includes ""Apply To"" toggle: ""Specific Table"" or ""Entire Domain"". Selection determines whether `table_id` or `domain_id` is populated; the other is NULL.",UI toggle lets stewards choose rule scope without understanding the underlying schema design.
REQ-410,10. UI & Admin Surfaces,UI & Frontend,MUST,Available,GraphFrame Cypher WHERE clause generation must use single-quoted string literals (not double-quoted SQL identifiers) for non-numeric PK values to produce valid Cypher syntax.,Correct single-quote quoting prevents SQL identifier errors when filtering by string PK values in the graph view.
REQ-533,10. UI & Admin Surfaces,Admin & Configuration,MUST,Available,"The admin GraphQL API is a Strawberry-based endpoint mounted at POST /admin/graphql, served by FastAPI via strawberry.fastapi.GraphQLRouter. It is wholly separate from the data GraphQL endpoint at /data/graphql with distinct schemas, independent routers, and independent access control.",Distinct admin API endpoint prevents governance operations from being confused with data query operations and allows independent auth enforcement.
REQ-620,10. UI & Admin Surfaces,Admin & Configuration,SHOULD,Available,The admin GraphQL API is mounted at `/admin/graphql` on the backend server (default port 8001). It is distinct from the data GraphQL API at `/data/graphql` and is used for platform administration operations.,Separate admin GraphQL endpoint allows tooling and scripts to target administrative mutations and queries without mixing them with data queries.
REQ-622,10. UI & Admin Surfaces,Admin & Configuration,SHOULD,Available,"The admin GraphQL API ships with Strawberry's built-in GraphiQL IDE accessible via GET /admin/graphql in a browser, allowing interactive exploration of the full admin schema.",Integrated GraphiQL removes the need for external GraphQL tooling when exploring or debugging admin operations.
REQ-644,10. UI & Admin Surfaces,Graph Grouping — View Transform,SHOULD,Available,"Node grouping in the graph UI is a view transform: the underlying node and edge data is never modified; the rendering layer derives a `groupKey` from any node attribute and applies visual encodings (color, hull ellipse) without altering model state. GroupingState is held in GraphFrame and passed to GraphCanvas and HullOverlay.",View-transform grouping keeps the data model clean and allows switching between grouping attributes without re-fetching data.
REQ-645,10. UI & Admin Surfaces,Graph Grouping — Attribute Discovery,SHOULD,Available,"After any query result, the UI scans all node properties to build a list of groupable attributes: attributes with more than one distinct value across nodes are included. `domain` (derived from the node label prefix) is always the first entry. Schema cluster virtuals (`schema_L1`, `schema_L2`, `schema_L3`) are included when their underlying `scl1`/`scl2`/`scl3` properties have multiple distinct values. The grouping dropdown is populated dynamically from this list — no attribute names are hardcoded.",Dynamic attribute discovery lets users group by any categorical property in the current result set without prior configuration.
REQ-646,10. UI & Admin Surfaces,Graph Grouping — Color Encoding,SHOULD,Available,"When a grouping attribute is active, each node's `background-color` in the Cytoscape style function is overridden to the color assigned to that node's group value. Color assignment uses `clusterColor(groupValue)` which derives a stable color from the group key string.",Color-by-group gives immediate visual differentiation of node clusters without requiring a separate legend interaction.
REQ-647,10. UI & Admin Surfaces,Graph Grouping — Hull SVG Overlay,SHOULD,Available,"When a grouping attribute is active, an SVG ellipse is drawn over the Cytoscape canvas around each group's node positions. Ellipses are computed by fitting bounding-box centroids and radii from node positions in graph coordinates, then converted to screen coordinates using Cytoscape zoom and pan. The SVG layer re-renders on every Cytoscape `viewport` event so hulls track pan and zoom.",SVG hull ellipses provide spatial grouping cues that remain accurate during pan and zoom without requiring re-layout.
REQ-648,10. UI & Admin Surfaces,Graph Grouping — Collapse to Supernode,SHOULD,Available,Each group cluster supports a collapse toggle. When collapsed: member nodes are removed from the Cytoscape graph; a synthetic supernode with id `__collapsed_<level>_<cidToId(cid)>` is added showing the group label and member count; edges crossing the group boundary are rewritten to connect to/from the supernode. Double-clicking the supernode expands the group and restores original nodes and edges. Collapsed state is held in a `Set<string>` per frame and reset when the grouping attribute changes.,Collapse-to-supernode reduces visual complexity for large clusters while preserving cross-cluster edge visibility.
REQ-649,10. UI & Admin Surfaces,Graph Node Size Encoding,MAY,Available,Node size can be driven by any numeric node property via `sizeByProperty` (a per-label map of property name). The property value is linearly scaled between the observed min and max across all nodes of that label to produce a node diameter between `base` and `base * multiplier`. The `sizeByProperty` setting is persisted in localStorage under key `provisa.graph.sizeByProperty`.,Size-by-property encoding lets analysts visually compare centrality scores or any other numeric metric across nodes without reading raw values.
REQ-055,"11. Platform, Infrastructure & Delivery",Infrastructure,SHOULD,Available,"Docker Compose for development/small-team: single command, Provisa + Trino coordinator + configurable workers, all connectors pre-loaded.",Single-command Docker Compose setup lets developers run the full Provisa stack without manual configuration.
REQ-056,"11. Platform, Infrastructure & Delivery",Infrastructure,SHOULD,Available,"Helm chart for production Kubernetes: horizontal Trino worker scaling, resource groups, HPA autoscaling.",Helm chart with HPA autoscaling lets production deployments scale Trino workers automatically under load.
REQ-057,"11. Platform, Infrastructure & Delivery",Infrastructure,MUST,Available,Provisa container is stateless; deployment topology behind Trino endpoint is configuration concern.,Stateless Provisa container enables horizontal scaling and rolling deployments without session affinity concerns.
REQ-064,"11. Platform, Infrastructure & Delivery",Error Handling & Reliability,MUST,Available,Never add fallback values or silent error handling — all errors must be explicit and fail-fast.,Fail-fast error handling ensures production failures surface immediately instead of silently returning bad data.
REQ-065,"11. Platform, Infrastructure & Delivery",Error Handling & Reliability,MUST,Available,No migrations in version 1 development.,No-migration policy eliminates schema migration risk and keeps V1 development iteration fast.
REQ-069,"11. Platform, Infrastructure & Delivery",Architecture & Design Patterns,MUST,Available,"Architecture docs in `docs/arch/` ARE the planning documents — update when requirements change, don't implement without planning.",Architecture docs as planning documents ensure implementation always reflects a reviewed design.
REQ-070,"11. Platform, Infrastructure & Delivery",Architecture & Design Patterns,MUST,Available,"Maximum brevity in communications — code and facts only, no pleasantries or explanations unless asked.",Maximum brevity discipline keeps communications focused on actionable information rather than ceremony.
REQ-071,"11. Platform, Infrastructure & Delivery",Architecture & Design Patterns,SHOULD,Available,New requirements tracked via requirements-tracker agent appending to `docs/arch/requirements.md`.,Automated requirements tracking ensures every design decision is recorded without interrupting development flow.
REQ-072,"11. Platform, Infrastructure & Delivery",Commercial Positioning,SHOULD,Available,"Core product is open source: Docker Compose, Helm chart, UI, compiler, SQLGlot layer, Trino backend.",Open-source core makes Provisa accessible to teams that cannot budget for commercial data access platforms.
REQ-073,"11. Platform, Infrastructure & Delivery",Commercial Positioning,MAY,Available,SaaS tier: hosted control plane with customer-hosted data plane option.,SaaS tier with customer-hosted data plane lets organizations adopt managed control without moving their data.
REQ-074,"11. Platform, Infrastructure & Delivery",Commercial Positioning,MAY,Available,"Enterprise tier: SLA guarantees, dedicated support, advanced audit logging, compliance reporting.",Enterprise tier SLA and audit logging meets regulated-industry compliance and procurement requirements.
REQ-169,"11. Platform, Infrastructure & Delivery",Infrastructure,SHOULD,Available,"Trino 480 with Iceberg results catalog (JDBC on PG, native S3 filesystem).",Trino 480 with Iceberg results catalog provides modern open-table-format storage for all redirected results.
REQ-170,"11. Platform, Infrastructure & Delivery",Infrastructure,SHOULD,Available,`start-ui.sh --reset-volumes` for Docker crash recovery.,reset-volumes flag gives developers a one-command recovery path after Docker volume corruption.
REQ-171,"11. Platform, Infrastructure & Delivery",Infrastructure,MUST,Available,MinIO results bucket auto-created at startup.,MinIO bucket auto-creation at startup prevents first-run failures due to missing redirect storage.
REQ-223,"11. Platform, Infrastructure & Delivery",Installer & Packaging,SHOULD,Available,"Single-executable installer that bundles the Provisa platform into one download. Underlying technology (Python server, PostgreSQL admin DB, Trino query engine, React UI) is hidden from the user. Source datasets are NOT bundled -- they connect over the wire.",Single-executable installer hides platform complexity so analysts can run Provisa without DevOps knowledge.
REQ-224,"11. Platform, Infrastructure & Delivery",Installer & Packaging,SHOULD,Available,"Installer expands into a hidden directory (`~/.provisa/`) containing all services. User interacts via `provisa start`, `provisa stop`, `provisa status`, `provisa open` (opens browser).",CLI commands (start/stop/status/open) give non-technical users a simple interface to manage the platform.
REQ-225,"11. Platform, Infrastructure & Delivery",Installer & Packaging,SHOULD,Available,"Default deployment uses embedded PostgreSQL (postgres:16) for admin DB and bundled Trino for query federation. Vertical scaling by default -- single machine, increase resources as needed.",Embedded PostgreSQL and Trino let a single machine run the full platform out of the box.
REQ-226,"11. Platform, Infrastructure & Delivery",Installer & Packaging,MAY,Available,"Users can later connect their own Trino cluster, Spark, external auth provider, or external PostgreSQL for the admin DB via config. Pointing to an external Trino instance is the primary scale-out mechanism.",External Trino and auth provider support lets organisations scale Provisa onto existing enterprise infrastructure.
REQ-227,"11. Platform, Infrastructure & Delivery",Installer & Packaging,SHOULD,Available,"AF2 is delivered in OS phases. AF2a (immediate): macOS arm64/x86 signed + notarized `.dmg`. AF2b (follow-on): Linux `.AppImage`. AF2c (follow-on): Windows signed `.exe`. Each phase bundles the container runtime for its platform — no Docker, OrbStack, or Colima prerequisite visible to the user.",OS-native signed bundles (DMG/AppImage/EXE) let users install Provisa like any desktop app without Docker.
REQ-228,"11. Platform, Infrastructure & Delivery",Installer & Packaging,SHOULD,Available,"Phase 1 (AF1, complete): Shell script installer with Docker Compose, `provisa` CLI wrapper, state in `~/.provisa/`. Requires Docker/OrbStack/Colima. Phase 2 (AF2): Airgapped native app bundle — Lima + containerd embedded, all service images bundled as `.tar` archives, zero outbound network at install or runtime. AF3 (native OS packages via Homebrew/.deb/.rpm) is superseded by AF2.",AF2 airgapped bundle removes the Docker prerequisite so enterprise users with no internet access can install.
REQ-254,"11. Platform, Infrastructure & Delivery",Testing & Quality,MUST,Available,"Integration tests must use Docker — spin up required containers (PG, Trino, Redis, etc.), install dependencies, run tests, and tear down containers. Tests must not assume a pre-existing Docker Compose stack.",Integration tests that spin up Docker containers ensure tests validate against real service behaviour.
